Date time,Temperature,Wind Speed,Visibility,Cloud Cover
1/5/2016 3:00,21,1.8,2.1,28
1/5/2016 3:30,21,1.8,2.2,50
1/5/2016 4:00,21.3,3.6,2.1,70.6
1/5/2016 4:30,22,3.6,2.1,49.1
1/5/2016 5:00,21,7.4,3,49.6
1/5/2016 5:30,22,5.2,2.1,49.1
1/5/2016 6:00,21,7.5,2.1,49.6
1/5/2016 6:30,22,5.2,1.1,49.1
1/5/2016 7:00,21.8,4.4,2.1,75.8
1/5/2016 7:30,21.95,4,2.55,62.7
1/5/2016 8:00,22.1,3.6,3,49.6
1/5/2016 8:30,23.1,2.1,5,49.1
1/5/2016 9:00,24,3.6,5,88
1/5/2016 9:30,25,3.7,6,85.8
1/5/2016 10:00,25.1,3.6,14.3,88.4
1/5/2016 10:30,26,3.6,8,86.6
1/5/2016 11:00,26,5.5,10,88
1/5/2016 11:30,27,5.5,9.9,49.1
1/5/2016 12:00,27,5.4,10,50
1/5/2016 12:30,28,5.5,9.9,50
1/5/2016 13:00,27.1,9.2,15.2,70.6
1/5/2016 13:30,27,7.5,9.9,49.1
1/5/2016 14:00,27,9.3,10,49.6
1/5/2016 14:30,27,9.2,9.9,49.1
1/5/2016 15:00,27,7.5,10,49.6
1/5/2016 15:30,27,7.6,9.9,49.1
1/5/2016 16:00,26.8,4.5,15.2,70.6
1/5/2016 16:30,26.9,5.4,9.9,49.1
1/5/2016 17:00,26,3.6,10,27.6
1/5/2016 17:30,25,3.7,9.9,25
1/5/2016 18:00,25,5.4,10,27.6
1/5/2016 18:30,24,5.3,9.9,25
1/5/2016 19:00,23.1,5.3,15.2,59.1
1/5/2016 19:30,23,3.5,9.9,25
1/5/2016 20:00,22,3.6,6,27.6
1/5/2016 20:30,23,3.5,6.1,25
1/5/2016 21:00,22,3.6,7,49.6
1/5/2016 21:30,22,3.5,7,49.1
1/5/2016 22:00,21.5,3.6,5.4,70.6
1/5/2016 22:30,22,3.5,3.1,49.1
1/5/2016 23:00,22,1.8,3.1,49.6
1/5/2016 23:30,21,3.5,3.1,49.1
1/6/2016 0:00,22,3.6,3.1,0.8
1/6/2016 0:30,21,3.5,1.2,25
1/6/2016 1:00,21.9,1.8,1.1,88
1/6/2016 1:30,21,3.5,1.1,25
1/6/2016 2:00,21,3.6,1.1,0.8
1/6/2016 2:30,22,3.6,5,25
1/6/2016 3:00,22,1.8,5,25
1/6/2016 3:30,22,0,5,25
1/6/2016 4:00,21.9,3.5,4,88
1/6/2016 4:30,22,3.5,4,49.1
1/6/2016 5:00,22,7.5,4,49.6
1/6/2016 5:30,22,7.3,2.1,49.1
1/6/2016 6:00,22,3.5,2.1,49.6
1/6/2016 6:30,22,3.5,2,50
1/6/2016 7:00,21.4,5.3,12.4,71.7
1/6/2016 7:30,22,3.5,4.9,86.6
1/6/2016 8:00,22,3.5,7.9,89.1
1/6/2016 8:30,23,3.5,6.9,88
1/6/2016 9:00,24,3.5,7.9,89.1
1/6/2016 9:30,25,3.5,7.9,88
1/6/2016 10:00,25.3,2.7,14.3,89.1
1/6/2016 10:30,27,5.3,9.9,88
1/6/2016 11:00,27,3.6,9.9,89.1
1/6/2016 11:30,26,5.3,9.9,86.6
1/6/2016 12:00,26.1,7.6,9.9,88.4
1/6/2016 12:30,28,5.3,9.9,85.8
1/6/2016 13:00,26.8,9.9,15.2,88
1/6/2016 13:30,28,9.4,9.9,49.1
1/6/2016 14:00,28,7.6,10,49.6
1/6/2016 14:30,27,7.6,9.9,50
1/6/2016 15:00,27,9.4,10,50
1/6/2016 15:30,27,12.8,9.9,50
1/6/2016 16:00,26,8.3,15.2,71
1/6/2016 16:30,26,7.6,9.9,50
1/6/2016 17:00,25,9.3,10,49.6
1/6/2016 17:30,25,9.2,9.9,50
1/6/2016 18:00,24,5.4,10,50
1/6/2016 18:30,24,1.8,9.9,50
1/6/2016 19:00,23.8,3.7,15.2,88.4
1/6/2016 19:30,24,1.9,7,86.6
1/6/2016 20:00,24,1.8,7,88.4
1/6/2016 20:30,24,1.8,7,86.6
1/6/2016 21:00,23,1.9,6,88.4
1/6/2016 21:30,23,1.9,4.1,86.6
1/6/2016 22:00,23.1,3.6,12.5,88.4
1/6/2016 22:30,23,1.8,5.1,86.6
1/6/2016 23:00,23,3.6,5,88.4
1/6/2016 23:30,23,3.5,4.1,86.6
1/7/2016 0:00,23,5.3,5,88.4
1/7/2016 0:30,23,1.7,4.1,86.6
1/7/2016 1:00,22.6,3.5,3,88.4
1/7/2016 1:30,22,1.7,3.1,86.6
1/7/2016 2:00,22,1.8,2.1,50
1/7/2016 2:30,22,1.7,2.1,50
1/7/2016 3:00,22,3.5,3.1,50
1/7/2016 3:30,22,5.2,3.1,50
1/7/2016 4:00,21.8,1.7,2.4,71
1/7/2016 4:30,22,5.3,4,50
1/7/2016 5:00,21,1.8,4,88.4
1/7/2016 5:30,21,5.3,4,86.6
1/7/2016 6:00,21,5.4,4,50
1/7/2016 6:30,21,5.2,3.1,50
1/7/2016 7:00,21.5,5.3,5.7,71
1/7/2016 7:30,22,3.5,4,50
1/7/2016 8:00,23.1,3.5,6,50
1/7/2016 8:30,25,5.3,9.9,50
1/7/2016 9:00,26,7.5,10,50
1/7/2016 9:30,26,7.5,9.9,50
1/7/2016 10:00,26.7,6.4,15.2,71
1/7/2016 10:30,27.9,13,9.9,50
1/7/2016 11:00,28,18.3,10,50
1/7/2016 11:30,27.9,18.2,9.9,50
1/7/2016 12:00,29,20.4,10,50
1/7/2016 12:30,28.9,20.2,9.9,50
1/7/2016 13:00,27.5,16.1,15.2,71
1/7/2016 13:30,28.9,22,9.9,50
1/7/2016 14:00,28,22.2,10,50
1/7/2016 14:30,27,22,9.9,50
1/7/2016 15:00,27,22.1,10,50
1/7/2016 15:30,26.9,22.1,9.9,50
1/7/2016 16:00,25.8,14.2,15.2,71
1/7/2016 16:30,26,20.3,9.9,50
1/7/2016 17:00,25,18.3,9.9,50
1/7/2016 17:30,25,18.1,9.9,51.4
1/7/2016 18:00,25,18.2,9.9,50
1/7/2016 18:30,25,0.5,9.9,50
1/7/2016 19:00,24.5,2.1,15.2,76.9
1/7/2016 19:30,24.75,8.4,12.55,63.45
1/7/2016 20:00,25,14.7,9.9,50
1/7/2016 20:30,25,9.3,9.9,50
1/7/2016 21:00,25,9.4,9.9,50.6
1/7/2016 21:30,24.9,9.4,9.9,50
1/7/2016 22:00,23.7,9.4,15.2,88.8
1/7/2016 22:30,24,11.1,9.9,50
1/7/2016 23:00,24,9.3,9.9,1.6
1/7/2016 23:30,24,9.3,9.9,50
1/8/2016 0:00,24,12.8,9.9,1.6
1/8/2016 0:30,24,5.4,9.9,88
1/8/2016 1:00,22.5,3.5,15.2,99.6
1/8/2016 1:30,23,3.5,9.9,88
1/8/2016 2:00,23,3.7,9.9,2.7
1/8/2016 2:30,22,3.7,9.9,88
1/8/2016 3:00,22,3.7,9.9,2.7
1/8/2016 3:30,22,2,9.8,88
1/8/2016 4:00,20.8,2,4,89.9
1/8/2016 4:30,21,2,4,88
1/8/2016 5:00,21,3.6,4,2.7
1/8/2016 5:30,22,7.4,4,27.2
1/8/2016 6:00,21,7.4,4,28
1/8/2016 6:30,21,0,4,25.9
1/8/2016 7:00,21.3,3.5,5.7,59.1
1/8/2016 7:30,22,3.5,3.1,25
1/8/2016 8:00,23,3.5,4.4,49.6
1/8/2016 8:30,24.1,3.5,7.9,50
1/8/2016 9:00,26,5.3,9.9,50
1/8/2016 9:30,26,7.5,9.9,50
1/8/2016 10:00,25.5,5.4,15.2,71
1/8/2016 10:30,27.9,5.3,9.9,50
1/8/2016 11:00,26,7.6,10,50
1/8/2016 11:30,28,9.4,10,50
1/8/2016 12:00,27,16.5,10,50
1/8/2016 12:30,28,14.6,10,50
1/8/2016 13:00,26.9,13.5,15.3,71
1/8/2016 13:30,27.9,14.8,10,50
1/8/2016 14:00,27,18.3,10,50
1/8/2016 14:30,28,20.3,10,50
1/8/2016 15:00,26,16.6,10,49.6
1/8/2016 15:30,26.9,16.5,9.9,49.1
1/8/2016 16:00,26.2,14.3,15.2,65.3
1/8/2016 16:30,26,16.6,9.9,49.1
1/8/2016 17:00,25,18.2,10,50
