,date,time,value,date time
321,2018-01-14,10,500,2018-01-14 10
322,2018-01-14,11,700,2018-01-14 11
323,2018-01-14,12,590,2018-01-14 12
324,2018-01-14,13,1,2018-01-14 13
325,2018-01-14,14,1,2018-01-14 14
326,2018-01-14,15,1,2018-01-14 15
327,2018-01-14,16,1,2018-01-14 16
328,2018-01-14,17,590,2018-01-14 17
329,2018-01-14,18,749,2018-01-14 18
330,2018-01-14,19,900,2018-01-14 19
331,2018-01-14,20,640,2018-01-14 20
332,2018-01-14,21,630,2018-01-14 21
333,2018-01-14,22,620,2018-01-14 22
334,2018-01-14,23,620,2018-01-14 23
335,2018-01-14,24,460,2018-01-14 24
336,2018-01-15,1,550,2018-01-15 1
337,2018-01-15,2,500,2018-01-15 2
338,2018-01-15,3,1,2018-01-15 3
339,2018-01-15,4,1,2018-01-15 4
340,2018-01-15,5,500,2018-01-15 5
341,2018-01-15,6,568,2018-01-15 6
342,2018-01-15,7,590,2018-01-15 7
343,2018-01-15,8,720,2018-01-15 8
344,2018-01-15,9,926,2018-01-15 9
345,2018-01-15,10,787.4,2018-01-15 10
346,2018-01-15,11,750,2018-01-15 11
347,2018-01-15,12,720,2018-01-15 12
348,2018-01-15,13,640,2018-01-15 13
349,2018-01-15,14,720,2018-01-15 14
350,2018-01-15,15,750,2018-01-15 15
351,2018-01-15,16,800,2018-01-15 16
352,2018-01-15,17,800,2018-01-15 17
353,2018-01-15,18,750,2018-01-15 18
354,2018-01-15,19,749,2018-01-15 19
355,2018-01-15,20,700,2018-01-15 20
356,2018-01-15,21,750,2018-01-15 21
357,2018-01-15,22,900,2018-01-15 22
358,2018-01-15,23,924.6,2018-01-15 23
359,2018-01-15,24,650,2018-01-15 24
360,2018-01-16,1,700,2018-01-16 1
361,2018-01-16,2,729,2018-01-16 2
362,2018-01-16,3,729,2018-01-16 3
363,2018-01-16,4,672,2018-01-16 4
364,2018-01-16,5,672,2018-01-16 5
365,2018-01-16,6,700,2018-01-16 6
366,2018-01-16,7,700,2018-01-16 7
367,2018-01-16,8,650,2018-01-16 8
368,2018-01-16,9,923.5,2018-01-16 9
369,2018-01-16,10,923.5,2018-01-16 10
370,2018-01-16,11,923.5,2018-01-16 11
371,2018-01-16,12,926,2018-01-16 12
372,2018-01-16,13,800,2018-01-16 13
373,2018-01-16,14,890.4,2018-01-16 14
374,2018-01-16,15,888,2018-01-16 15
375,2018-01-16,16,926,2018-01-16 16
376,2018-01-16,17,923.5,2018-01-16 17
377,2018-01-16,18,800,2018-01-16 18
378,2018-01-16,19,800,2018-01-16 19
379,2018-01-16,20,700,2018-01-16 20
380,2018-01-16,21,750,2018-01-16 21
381,2018-01-16,22,926,2018-01-16 22
382,2018-01-16,23,926,2018-01-16 23
383,2018-01-16,24,731.4,2018-01-16 24
384,2018-01-17,1,750,2018-01-17 1
385,2018-01-17,2,750,2018-01-17 2
386,2018-01-17,3,810,2018-01-17 3
387,2018-01-17,4,810,2018-01-17 4
388,2018-01-17,5,750,2018-01-17 5
389,2018-01-17,6,890.4,2018-01-17 6
390,2018-01-17,7,890.4,2018-01-17 7
