,Time,day,SMP,month,year,Date
439,8,10,730.0,9,2021,2021-09-10
440,9,10,700.0,9,2021,2021-09-10
441,10,10,700.0,9,2021,2021-09-10
442,11,10,715.0,9,2021,2021-09-10
443,12,10,730.0,9,2021,2021-09-10
444,13,10,700.0,9,2021,2021-09-10
445,14,10,300.0,9,2021,2021-09-10
446,15,10,300.0,9,2021,2021-09-10
447,16,10,300.0,9,2021,2021-09-10
448,17,10,1.0,9,2021,2021-09-10
449,18,10,1.0,9,2021,2021-09-10
450,19,10,1.0,9,2021,2021-09-10
451,20,10,1.0,9,2021,2021-09-10
452,21,10,1.0,9,2021,2021-09-10
453,22,10,300.0,9,2021,2021-09-10
454,23,10,1.0,9,2021,2021-09-10
455,24,10,1.0,9,2021,2021-09-10
456,25,10,1.0,9,2021,2021-09-10
457,26,10,1.0,9,2021,2021-09-10
458,27,10,1.0,9,2021,2021-09-10
459,28,10,1.0,9,2021,2021-09-10
460,29,10,1.0,9,2021,2021-09-10
461,30,10,749.0,9,2021,2021-09-10
462,31,10,854.1,9,2021,2021-09-10
463,32,10,917.0,9,2021,2021-09-10
464,33,10,962.0,9,2021,2021-09-10
465,34,10,1266.0,9,2021,2021-09-10
466,35,10,1266.0,9,2021,2021-09-10
467,36,10,1266.0,9,2021,2021-09-10
468,37,10,1266.0,9,2021,2021-09-10
469,38,10,1266.0,9,2021,2021-09-10
470,39,10,1170.0,9,2021,2021-09-10
471,40,10,915.0,9,2021,2021-09-10
472,41,10,890.0,9,2021,2021-09-10
473,42,10,890.0,9,2021,2021-09-10
474,43,10,850.0,9,2021,2021-09-10
475,44,10,800.0,9,2021,2021-09-10
476,45,10,800.0,9,2021,2021-09-10
477,46,10,749.0,9,2021,2021-09-10
478,47,10,600.0,9,2021,2021-09-10
479,48,10,395.0,9,2021,2021-09-10
480,1,11,854.1,9,2021,2021-09-11
481,2,11,800.0,9,2021,2021-09-11
482,3,11,780.0,9,2021,2021-09-11
483,4,11,800.0,9,2021,2021-09-11
484,5,11,800.0,9,2021,2021-09-11
485,6,11,800.0,9,2021,2021-09-11
486,7,11,800.0,9,2021,2021-09-11
487,8,11,800.0,9,2021,2021-09-11
488,9,11,800.0,9,2021,2021-09-11
489,10,11,780.0,9,2021,2021-09-11
490,11,11,800.0,9,2021,2021-09-11
491,12,11,800.0,9,2021,2021-09-11
492,13,11,800.0,9,2021,2021-09-11
493,14,11,750.0,9,2021,2021-09-11
494,15,11,780.0,9,2021,2021-09-11
495,16,11,800.0,9,2021,2021-09-11
496,17,11,500.0,9,2021,2021-09-11
497,18,11,1.0,9,2021,2021-09-11
498,19,11,1.0,9,2021,2021-09-11
499,20,11,1.0,9,2021,2021-09-11
500,21,11,1.0,9,2021,2021-09-11
501,22,11,1.0,9,2021,2021-09-11
502,23,11,1.0,9,2021,2021-09-11
503,24,11,1.0,9,2021,2021-09-11
504,25,11,1.0,9,2021,2021-09-11
505,26,11,1.0,9,2021,2021-09-11
506,27,11,1.0,9,2021,2021-09-11
507,28,11,1.0,9,2021,2021-09-11
508,29,11,500.0,9,2021,2021-09-11
509,30,11,854.0,9,2021,2021-09-11
510,31,11,886.3,9,2021,2021-09-11
511,32,11,886.3,9,2021,2021-09-11
512,33,11,800.0,9,2021,2021-09-11
513,34,11,890.0,9,2021,2021-09-11
514,35,11,900.0,9,2021,2021-09-11
515,36,11,915.0,9,2021,2021-09-11
516,37,11,917.0,9,2021,2021-09-11
517,38,11,1024.2,9,2021,2021-09-11
518,39,11,962.0,9,2021,2021-09-11
519,40,11,954.5,9,2021,2021-09-11
520,41,11,954.0,9,2021,2021-09-11
521,42,11,954.5,9,2021,2021-09-11
522,43,11,986.5,9,2021,2021-09-11
523,44,11,917.0,9,2021,2021-09-11
524,45,11,917.0,9,2021,2021-09-11
525,46,11,914.0,9,2021,2021-09-11
526,47,11,900.0,9,2021,2021-09-11
527,48,11,890.0,9,2021,2021-09-11
528,1,12,900.0,9,2021,2021-09-12
529,2,12,850.0,9,2021,2021-09-12
530,3,12,800.0,9,2021,2021-09-12
531,4,12,750.0,9,2021,2021-09-12
532,5,12,749.0,9,2021,2021-09-12
533,6,12,749.0,9,2021,2021-09-12
534,7,12,749.0,9,2021,2021-09-12
535,8,12,300.0,9,2021,2021-09-12
536,9,12,300.0,9,2021,2021-09-12
537,10,12,300.0,9,2021,2021-09-12
538,11,12,300.0,9,2021,2021-09-12
539,12,12,300.0,9,2021,2021-09-12
540,13,12,300.0,9,2021,2021-09-12
541,14,12,250.0,9,2021,2021-09-12
542,15,12,1.0,9,2021,2021-09-12
543,16,12,1.0,9,2021,2021-09-12
544,17,12,1.0,9,2021,2021-09-12
545,18,12,1.0,9,2021,2021-09-12
546,19,12,1.0,9,2021,2021-09-12
547,20,12,1.0,9,2021,2021-09-12
548,21,12,1.0,9,2021,2021-09-12
549,22,12,1.0,9,2021,2021-09-12
550,23,12,300.0,9,2021,2021-09-12
551,24,12,500.0,9,2021,2021-09-12
552,25,12,500.0,9,2021,2021-09-12
553,26,12,800.0,9,2021,2021-09-12
554,27,12,800.0,9,2021,2021-09-12
555,28,12,715.0,9,2021,2021-09-12
556,29,12,500.0,9,2021,2021-09-12
557,30,12,750.0,9,2021,2021-09-12
558,31,12,800.0,9,2021,2021-09-12
559,32,12,850.0,9,2021,2021-09-12
560,33,12,850.0,9,2021,2021-09-12
