Time,Day,SMP,Month,Year
7,12,863.0,9,2020
8,12,855.0,9,2020
9,12,850.0,9,2020
10,12,850.0,9,2020
11,12,850.0,9,2020
12,12,851.0,9,2020
13,12,850.0,9,2020
14,12,829.0,9,2020
15,12,837.0,9,2020
16,12,859.0,9,2020
17,12,859.0,9,2020
18,12,863.0,9,2020
19,12,879.0,9,2020
20,12,859.0,9,2020
21,12,863.0,9,2020
22,12,863.0,9,2020
23,12,837.0,9,2020
24,12,660.7,9,2020
25,12,500.0,9,2020
26,12,800.0,9,2020
27,12,844.0,9,2020
28,12,859.0,9,2020
29,12,859.0,9,2020
30,12,903.2,9,2020
31,12,943.2,9,2020
32,12,943.2,9,2020
33,12,943.2,9,2020
34,12,903.2,9,2020
35,12,855.0,9,2020
36,12,851.0,9,2020
37,12,859.0,9,2020
38,12,900.0,9,2020
39,12,870.0,9,2020
40,12,850.0,9,2020
41,12,859.0,9,2020
42,12,880.0,9,2020
43,12,943.2,9,2020
44,12,943.2,9,2020
45,12,950.0,9,2020
46,12,943.2,9,2020
47,12,943.2,9,2020
48,12,943.2,9,2020
1,13,943.2,9,2020
2,13,943.2,9,2020
3,13,999.0,9,2020
4,13,999.0,9,2020
5,13,1000.0,9,2020
6,13,1000.0,9,2020
7,13,1000.0,9,2020
8,13,999.0,9,2020
9,13,958.9,9,2020
10,13,990.0,9,2020
11,13,943.2,9,2020
12,13,943.2,9,2020
13,13,900.0,9,2020
14,13,900.0,9,2020
15,13,850.0,9,2020
16,13,850.0,9,2020
17,13,838.0,9,2020
18,13,800.0,9,2020
19,13,750.0,9,2020
20,13,600.0,9,2020
21,13,788.0,9,2020
22,13,788.0,9,2020
23,13,804.0,9,2020
24,13,800.0,9,2020
25,13,600.0,9,2020
26,13,500.0,9,2020
27,13,500.0,9,2020
28,13,750.0,9,2020
29,13,800.0,9,2020
30,13,810.0,9,2020
31,13,850.0,9,2020
32,13,846.0,9,2020
33,13,855.0,9,2020
34,13,900.0,9,2020
35,13,943.2,9,2020
36,13,999.0,9,2020
37,13,1010.0,9,2020
38,13,1200.0,9,2020
39,13,1042.1,9,2020
40,13,943.2,9,2020
41,13,900.0,9,2020
42,13,943.2,9,2020
43,13,877.4,9,2020
44,13,855.0,9,2020
45,13,900.0,9,2020
46,13,860.0,9,2020
47,13,837.0,9,2020
48,13,550.0,9,2020
1,14,469.2,9,2020
2,14,469.2,9,2020
3,14,455.1,9,2020
4,14,455.1,9,2020
5,14,455.1,9,2020
6,14,455.1,9,2020
7,14,455.1,9,2020
8,14,400.0,9,2020
9,14,400.0,9,2020
10,14,400.0,9,2020
11,14,455.1,9,2020
12,14,469.2,9,2020
13,14,469.2,9,2020
14,14,469.2,9,2020
15,14,500.0,9,2020
16,14,800.0,9,2020
17,14,837.0,9,2020
18,14,837.0,9,2020
19,14,837.0,9,2020
20,14,800.0,9,2020
21,14,800.0,9,2020
22,14,818.0,9,2020
23,14,500.0,9,2020
24,14,455.1,9,2020
25,14,455.1,9,2020
26,14,455.1,9,2020
27,14,500.0,9,2020
28,14,700.0,9,2020
29,14,750.0,9,2020
30,14,798.0,9,2020
31,14,837.0,9,2020
32,14,943.2,9,2020
33,14,943.2,9,2020
34,14,930.0,9,2020
35,14,850.0,9,2020
36,14,900.0,9,2020
37,14,943.2,9,2020
38,14,949.0,9,2020
39,14,943.2,9,2020
40,14,837.0,9,2020
41,14,838.0,9,2020
42,14,860.0,9,2020
43,14,865.0,9,2020
44,14,840.0,9,2020
45,14,846.0,9,2020
46,14,838.0,9,2020
47,14,837.0,9,2020
48,14,800.0,9,2020
1,15,661.4,9,2020
2,15,500.0,9,2020
3,15,600.0,9,2020
4,15,661.4,9,2020
5,15,600.0,9,2020
6,15,500.0,9,2020
7,15,500.0,9,2020
8,15,500.0,9,2020
9,15,500.0,9,2020
10,15,500.0,9,2020
11,15,500.0,9,2020
12,15,500.0,9,2020
13,15,500.0,9,2020
14,15,500.0,9,2020
15,15,469.2,9,2020
16,15,661.4,9,2020
17,15,858.0,9,2020
18,15,859.0,9,2020
19,15,859.0,9,2020
20,15,845.0,9,2020
21,15,837.0,9,2020
22,15,837.0,9,2020
23,15,585.0,9,2020
24,15,469.2,9,2020
25,15,500.0,9,2020
26,15,837.0,9,2020
27,15,859.0,9,2020
28,15,900.0,9,2020
29,15,943.2,9,2020
30,15,943.2,9,2020
31,15,943.2,9,2020
32,15,995.0,9,2020
33,15,1009.0,9,2020
34,15,1000.0,9,2020
35,15,1010.0,9,2020
36,15,1010.0,9,2020
37,15,1105.8,9,2020
38,15,1099.0,9,2020
39,15,1010.0,9,2020
40,15,1009.0,9,2020
41,15,1009.0,9,2020
42,15,1042.1,9,2020
43,15,1105.8,9,2020
44,15,1105.8,9,2020
45,15,1341.0,9,2020
46,15,1299.0,9,2020
47,15,1200.0,9,2020
48,15,989.0,9,2020
1,16,987.0,9,2020
2,16,943.2,9,2020
3,16,900.0,9,2020
4,16,943.2,9,2020
5,16,943.2,9,2020
6,16,903.2,9,2020
7,16,933.2,9,2020
8,16,900.0,9,2020
9,16,874.0,9,2020
10,16,874.0,9,2020
11,16,874.0,9,2020
12,16,874.0,9,2020
13,16,837.0,9,2020
14,16,837.0,9,2020
15,16,837.0,9,2020
16,16,943.2,9,2020
17,16,960.0,9,2020
18,16,960.0,9,2020
19,16,943.2,9,2020
20,16,943.2,9,2020
21,16,960.0,9,2020
22,16,996.0,9,2020
23,16,950.0,9,2020
24,16,874.0,9,2020
25,16,874.0,9,2020
26,16,995.0,9,2020
27,16,1200.0,9,2020
28,16,1342.2,9,2020
29,16,1042.1,9,2020
30,16,1341.6,9,2020
31,16,1342.3,9,2020
32,16,1342.3,9,2020
33,16,1342.3,9,2020
34,16,1149.0,9,2020
35,16,1341.0,9,2020
36,16,1342.3,9,2020
37,16,1342.3,9,2020
38,16,1342.3,9,2020
39,16,1010.0,9,2020
40,16,1099.0,9,2020
41,16,1342.3,9,2020
42,16,1342.3,9,2020
43,16,1342.3,9,2020
44,16,1342.3,9,2020
45,16,1342.3,9,2020
46,16,1342.3,9,2020
47,16,1342.3,9,2020
48,16,1342.3,9,2020
1,17,1010.0,9,2020
2,17,960.0,9,2020
3,17,943.2,9,2020
4,17,900.0,9,2020
5,17,900.0,9,2020
6,17,900.0,9,2020
7,17,880.8,9,2020
8,17,900.0,9,2020
9,17,900.0,9,2020
10,17,900.0,9,2020
11,17,900.0,9,2020
12,17,901.0,9,2020
13,17,900.0,9,2020
14,17,900.0,9,2020
15,17,900.0,9,2020
16,17,992.0,9,2020
17,17,993.0,9,2020
18,17,1000.0,9,2020
19,17,943.2,9,2020
20,17,874.0,9,2020
21,17,900.0,9,2020
22,17,874.0,9,2020
23,17,859.0,9,2020
24,17,837.0,9,2020
25,17,837.0,9,2020
26,17,950.0,9,2020
27,17,1010.0,9,2020
28,17,1010.0,9,2020
29,17,1010.0,9,2020
30,17,1042.1,9,2020
31,17,1100.0,9,2020
32,17,1100.0,9,2020
33,17,1042.1,9,2020
34,17,1009.0,9,2020
35,17,960.0,9,2020
36,17,992.0,9,2020
37,17,1009.0,9,2020
38,17,960.0,9,2020
39,17,943.2,9,2020
40,17,874.0,9,2020
41,17,903.2,9,2020
42,17,1009.0,9,2020
43,17,1010.0,9,2020
44,17,992.0,9,2020
45,17,950.0,9,2020
46,17,943.2,9,2020
47,17,903.2,9,2020
48,17,874.0,9,2020
1,18,874.0,9,2020
2,18,838.0,9,2020
3,18,837.0,9,2020
4,18,815.0,9,2020
5,18,800.0,9,2020
6,18,800.0,9,2020
7,18,700.0,9,2020
8,18,686.5,9,2020
9,18,611.0,9,2020
10,18,611.0,9,2020
11,18,800.0,9,2020
12,18,816.0,9,2020
13,18,611.0,9,2020
14,18,600.3,9,2020
15,18,611.0,9,2020
16,18,800.0,9,2020
17,18,837.0,9,2020
18,18,837.0,9,2020
19,18,800.0,9,2020
20,18,611.0,9,2020
21,18,611.0,9,2020
22,18,611.0,9,2020
23,18,500.0,9,2020
24,18,455.1,9,2020
